Margherita di Bufala,"  Mozzarella di Bufala"," tomates grappes"," basilic frais"
Pizza Burrata," Pesto basilic"," mozzarella Burrata"
Calzone Straciatella," Coeur de mozzarella burrata"," saumon frais"," roquette"," aneth"
Savoyarde," Mozzarella"," lardons"," pommes de terre"," reblochon"," oignons"," crème fraîche"
Hawaî," Mozzarella"," ananas frais"," poulet"
Bianca di Pollo," Mozzarella"," poulet"," courgettes"," poivrons"," crème au curry"
Normande," Mozzarella"," andouille de Vire"," oignons"," Pont L'Evéque"," crème fraîche"
Méridionale," Mozzarella"," légumes"," jambon de Parme"," copeaux de parmesan"," roquette"
Toscane," Mozzarella"," gorgonzola"," crème fraîche"," jambon de Parme"," roquette"
Rochetta di Parma," Mozzarella"," olives"," jambon de Parme"," roquette"," parmesan"
Royale," Mozzarella"," saumon fumé"," Saint-Jacques fraîches"," poireaux"," crème fraîche"
Amalfi," Mozzarella"," Saint-Jacques fraîches"," champignons frais"," ail"
Marinara," Mozzarella"," moules"," crevettes"," calamars"," Saint Jacques fraîches"
Nordique," Mozzarella"," crème fraîche"," saumon fumé"," crevettes fraîches"," tomates cerises"
Calzone (pizza soufflée)," Mozzarella"," jambon","oeufs"," salade verte"
Calzone di Pizzaiolo,Mozzarella," jambon","oeufs"," aubergines"," une Salade verte"
Calzone végétarienne,Mozzarella," artichauts"," poivrons"," courgettes"," aubergines"
Ouverte,Mozzarella," jambon","oeufs"
Margherita," Mozzarella"," olives"
Napolitaine," Mozzarella"," olives"," anchois"," câpres"
Quattro Stagioni," Mozzarella"," jambon"," artichauts"," champignons frais"," olives"," anchois"
Régina,Mozzarella," jambon"," champignons frais"
Seguin," Mozzarella"," lardons"," oignons"," chèvre"," roquette"," miel"
Quatre fromages," Mozzarella"," gorgonzola"," chèvre"," reblochon"
Salami," Mozzarella"," salamI"," poivrons"," copeaux de parmesan"
Orientale," Mozzarella"," merguez (boucherie Marcel)"," chorizo","oeufs"
Campione,Mozzarella," bœuf haché frais"," oignons","oeufs"
Tex Mex," Mozzarella"," bœuf haché frais"," chorizo"," oignons"," poivrons"
Chef," Mozzarella"," jambon"," aubergine","oeufs"
Provençale," Mozzarella"," poivrons"," aubergines"," courgettes"," artichauts"," roquette"," copeaux de parmesan"
Patron," Mozzarella"," mortadelle"," aubergines"," oignons"
